cableId,factor
8,2.0
9,1.9993630573248409
10,3.0654296875
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.843155310006139
3,1.0
4,2.0002159360829195
5,2.0
6,3.341666666666667
7,2.634258498932501
8,3.3062283737024223
9,2.244884910485933
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.1215019482819697
3,1.0
4,1.9996661101836395
5,3.7513565272901377
6,15.384908053265695
7,2.6380341415679025
8,2.0001701837985024
9,3.133276740237691
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.227828054298642
3,1.0
4,1.9997969130787976
5,4.577916295636687
6,3.3404306220095696
7,13.831599801882119
8,2.0003891050583658
9,2.0
10,10.946871310507673
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,12.423295454545453
5,2.9420911528150135
6,2.9162311955661124
7,2.094393267371773
8,2.000364564345607
9,1.9997692662667281
10,3.4835209003215435
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,3.6780617324925324
3,1.0
4,2.0
5,1.999814883376527
6,2.8954782608695653
7,5.922803272856635
8,3.2736363636363635
9,2.0001977066034007
10,2.304030972443635
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.443818786792936
3,1.0
4,2.0
5,2.651488616462347
6,4.815625
7,7.5662847790507355
8,2.0
9,3.965544871794872
10,1.9995959595959596
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,3.7913493755711243
3,1.0
4,2.0001606941989394
5,2.5104031209362807
6,4.051277850589777
7,15.974806201550386
8,2.0
9,8.521161825726141
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,5.9162609542356375
3,1.0
4,2.0
5,1.9997468995191092
6,3.4534154892170403
7,3.992998403144577
8,2.8762286130323993
9,2.000113752701627
10,2.0320120189529645
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.9998543760011651
3,1.0
4,2.0944029281683703
5,2.0587713461964956
6,2.783977303431505
7,24.129976580796253
8,1.9997845756139594
9,2.0
10,3.5663349917081257
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0002925687536575
3,1.0
4,2.8381070983810712
5,2.0
6,7.2184754888070275
7,3.618465909090909
8,2.6347446236559136
9,6.395729537366548
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.000201369311317
3,1.0
4,10.346875
5,2.4281456953642384
6,2.905085089141005
7,3.240931178664256
8,1.9997272975184073
9,2.1131172206264535
10,2.000129466597618
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,7.65464313123561
3,1.0
4,2.0
5,2.335961700929316
6,17.773131672597867
7,5.515461071231364
8,2.0002411381721728
9,3.4946264073694984
10,1.999853565675794
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,5.538040775733466
3,1.0
4,2.0001795977011496
5,2.0
6,2.7810194119650355
7,4.621392190152801
8,2.232029421598128
9,2.0
10,2.774144486692015
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.030398466383678
3,1.0
4,2.0
5,3.2617197292554527
6,4.931111663765233
7,8.662297946701615
8,2.0001537279016146
9,5.725265017667844
10,1.9996914532551684
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,3.0019223375624757
3,1.0
4,2.0
5,2.0003275466754014
6,10.501988071570576
7,60.1994301994302
8,2.789858382823207
9,2.0
10,3.3100233100233103
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.00030330603579
3,1.0
4,2.633785942492013
5,2.0
6,4.025827699774657
7,7.016616314199395
8,2.350253807106599
9,2.1411182959300112
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.1789166514681746
3,1.0
4,2.000167420056923
5,2.0002435460301995
6,28.37816245006658
7,2.393799842749635
8,4.540077390823659
9,2.1611275448059857
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.112761480381235
3,1.0
4,1.9998828353837141
5,4.813846153846153
6,3.2296849087893866
7,4.287876702903537
8,2.0
9,2.0
10,3.180555555555556
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.196635283222719
5,1.999853436904587
6,3.7755639097744362
7,2.5189365437672437
8,2.802423495584309
9,1.9998338870431893
10,2.0162451850611287
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.000124595066035
3,1.0
