2,4,6,8,10,12,16,30
0.002417,0.007552,0.0141985,0.014016,0.017419,0.05026,0.0493775,0.386677
0.002359,0.009032,0.0155595,0.013976,0.019651,0.053074,0.0511315,0.399497
0.002394,0.010873,0.0159915,0.016231,0.021333,0.055067,0.052507,0.400227
,0.015602,0.0163355,0.017864,0.020367,0.054967,0.053568,0.411343
,0.022755,0.016029,0.021063,0.024195,0.056506,0.0550875,0.404922
,,0.0183015,0.021365,0.025424,0.057247,0.057071,0.400586
,,0.0217135,0.021379,0.02622,0.059938,0.0573985,0.422509
,,,0.021463,0.034461,0.062143,0.0600335,0.422495
,,,0.028441,0.050078,0.064665,0.065226,0.420872
,,,,0.058643,0.072658,0.0768325,0.432658
,,,,0.097783,0.073153,0.076506,0.431914
,,,,,0.072465,0.105039,0.40735
,,,,,0.081364,0.1040585,0.421247
,,,,,,0.1121335,0.429048
,,,,,,0.111973,0.43903
,,,,,,0.1113345,0.444338
,,,,,,0.114975,0.450276
,,,,,,,0.455283
,,,,,,,0.45835
,,,,,,,0.487715
,,,,,,,0.502755
,,,,,,,0.501374
,,,,,,,0.497512
