"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fileName","Param: nbUFuses"
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfOur","avgt",8,30,0.017419,0.000256,"ms/op",indirectPara.json,0
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfOur","avgt",8,30,0.019651,0.000248,"ms/op",indirectPara.json,1
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfOur","avgt",8,30,0.021333,0.000272,"ms/op",indirectPara.json,2
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfOur","avgt",8,30,0.020367,0.000312,"ms/op",indirectPara.json,3
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfOur","avgt",8,30,0.024195,0.000278,"ms/op",indirectPara.json,4
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfOur","avgt",8,30,0.025424,0.000342,"ms/op",indirectPara.json,5
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfOur","avgt",8,30,0.026220,0.000237,"ms/op",indirectPara.json,6
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfOur","avgt",8,30,0.034461,0.001645,"ms/op",indirectPara.json,7
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfOur","avgt",8,30,0.050078,0.001469,"ms/op",indirectPara.json,8
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfOur","avgt",8,30,0.058643,0.001352,"ms/op",indirectPara.json,9
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.listValidConfOur","avgt",8,30,0.097783,0.008793,"ms/op",indirectPara.json,10
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.050260,0.000627,"ms/op",runningexample.json,0
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.053074,0.000999,"ms/op",runningexample.json,1
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.055067,0.000724,"ms/op",runningexample.json,2
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.054967,0.001185,"ms/op",runningexample.json,3
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.056506,0.000236,"ms/op",runningexample.json,4
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.057247,0.000619,"ms/op",runningexample.json,5
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.059938,0.000676,"ms/op",runningexample.json,6
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.062143,0.000193,"ms/op",runningexample.json,7
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.064665,0.000343,"ms/op",runningexample.json,8
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.072658,0.001614,"ms/op",runningexample.json,9
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.073153,0.000602,"ms/op",runningexample.json,10
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.072465,0.000326,"ms/op",runningexample.json,11
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.listValidConfOur","avgt",8,30,0.081364,0.000547,"ms/op",runningexample.json,12
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.043830,0.001091,"ms/op",realcase-Sub2.json,0
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.043147,0.000484,"ms/op",realcase-Sub2.json,1
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.044813,0.000312,"ms/op",realcase-Sub2.json,2
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.045557,0.000490,"ms/op",realcase-Sub2.json,3
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.048999,0.000253,"ms/op",realcase-Sub2.json,4
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.051907,0.000527,"ms/op",realcase-Sub2.json,5
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.053251,0.000271,"ms/op",realcase-Sub2.json,6
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.056388,0.000361,"ms/op",realcase-Sub2.json,7
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.064811,0.000845,"ms/op",realcase-Sub2.json,8
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.086967,0.001861,"ms/op",realcase-Sub2.json,9
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.085680,0.001964,"ms/op",realcase-Sub2.json,10
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.134264,0.001595,"ms/op",realcase-Sub2.json,11
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.133221,0.004184,"ms/op",realcase-Sub2.json,12
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.149682,0.000236,"ms/op",realcase-Sub2.json,13
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.146119,0.006283,"ms/op",realcase-Sub2.json,14
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.144001,0.004619,"ms/op",realcase-Sub2.json,15
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.144567,0.006323,"ms/op",realcase-Sub2.json,16
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.054925,0.000640,"ms/op",realcase-Sub3.json,0
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.059116,0.001068,"ms/op",realcase-Sub3.json,1
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.060201,0.000584,"ms/op",realcase-Sub3.json,2
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.061579,0.000811,"ms/op",realcase-Sub3.json,3
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.061176,0.000343,"ms/op",realcase-Sub3.json,4
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.062235,0.000678,"ms/op",realcase-Sub3.json,5
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.061546,0.000625,"ms/op",realcase-Sub3.json,6
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.063679,0.000177,"ms/op",realcase-Sub3.json,7
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.065641,0.000596,"ms/op",realcase-Sub3.json,8
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.066698,0.001200,"ms/op",realcase-Sub3.json,9
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.067332,0.001185,"ms/op",realcase-Sub3.json,10
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.075814,0.000516,"ms/op",realcase-Sub3.json,11
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.074896,0.001035,"ms/op",realcase-Sub3.json,12
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.074585,0.001113,"ms/op",realcase-Sub3.json,13
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.077827,0.000488,"ms/op",realcase-Sub3.json,14
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.078668,0.001218,"ms/op",realcase-Sub3.json,15
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.listValidConfOur","avgt",8,30,0.085383,0.000337,"ms/op",realcase-Sub3.json,16
"duc.propagation.bench.smartgridcomm2020.Topo2Fuses.listValidConfOur","avgt",8,30,0.002417,0.000034,"ms/op",singleCable.json,0
"duc.propagation.bench.smartgridcomm2020.Topo2Fuses.listValidConfOur","avgt",8,30,0.002359,0.000032,"ms/op",singleCable.json,1
"duc.propagation.bench.smartgridcomm2020.Topo2Fuses.listValidConfOur","avgt",8,30,0.002394,0.000013,"ms/op",singleCable.json,2
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfOur","avgt",8,30,0.386677,0.002930,"ms/op",realcase-Sub1.json,0
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfOur","avgt",8,30,0.399497,0.005688,"ms/op",realcase-Sub1.json,1
"duc.propagation.bench.smartgridcomm2020.Topo30Fuses.listValidConfOur","avgt",8,30,0.400227,0.002374,"ms/op",realcase-Sub1.json,2
