cableId,categorie,stdLoad
1,naive,25.173001410241092
2,naive,41.056948660772804
3,naive,55.76951183218301
4,naive,41.0569486607728
5,naive,39.54399448715317
6,naive,65.35896319557096
7,naive,69.50998438045738
8,naive,46.33230145733464
9,naive,67.16242724420651
10,naive,52.9096928738015
11,naive,59.609101654025956
12,naive,176.95110224767367
13,naive,68.95705330131211
14,naive,61.24532335887642
15,naive,192.59141847338537
1,bs,0.0
2,bs,41.056948660772804
3,bs,0.0
4,bs,19.834345212282656
5,bs,15.167440456451446
6,bs,57.23000465956064
7,bs,84.0134753080322
8,bs,39.54541734933813
9,bs,52.91170601420194
10,bs,12.473363620130698
11,bs,0.0
12,bs,0.0
13,bs,0.0
14,bs,0.0
15,bs,0.0
1,naive,11.030865786510141
2,naive,32.4997415374338
3,naive,0.0
4,naive,32.498862031359394
5,naive,54.45893468170918
6,naive,34.64964682359692
7,naive,35.823952136338434
8,naive,54.45893468170918
9,naive,46.711040361638986
10,naive,46.71196170861021
11,naive,40.736421664157
12,naive,116.59428575668325
13,naive,20.265680348806452
14,naive,29.928702499997115
15,naive,127.99612205063089
1,bs,0.0
2,bs,16.645293629131324
3,bs,0.0
4,bs,32.498862031359394
5,bs,31.635716102742695
6,bs,7.382194795587555
7,bs,40.5154838713958
8,bs,49.78247214967667
9,bs,38.40883275150825
10,bs,28.81007173426219
11,bs,0.0
12,bs,0.0
13,bs,0.0
14,bs,0.0
15,bs,0.0
1,naive,25.76697110643779
2,naive,37.666295610266744
3,naive,10.316687937511729
4,naive,37.66604217771404
5,naive,31.692894576965774
6,naive,46.57979128774899
7,naive,43.39107107330826
8,naive,31.695269231648222
9,naive,47.78921670558468
10,naive,47.788671164478586
11,naive,6.406387437550121
12,naive,63.05953585849957
13,naive,56.10892308715254
14,naive,59.394121201793475
15,naive,74.85687304173571
1,bs,0.0
2,bs,30.17858567483462
3,bs,0.0
4,bs,23.71739937963969
5,bs,32.15136907401197
6,bs,59.8390001030543
7,bs,38.21569878117281
8,bs,18.66333392867773
9,bs,27.73451700198389
10,bs,43.847201735116464
11,bs,0.0
12,bs,0.0
13,bs,0.0
14,bs,0.0
15,bs,0.0
1,naive,28.906525214906065
2,naive,46.85456105510612
3,naive,14.11385135248349
4,naive,46.85456105510611
5,naive,29.060349131878418
6,naive,16.493309855817294
7,naive,30.9885121571573
8,naive,24.21699885066961
9,naive,37.050498422198494
10,naive,59.128151501632445
11,naive,24.00627522128329
12,naive,129.01293008842177
13,naive,51.39252085663828
14,naive,80.64712600789524
15,naive,137.52184836634228
1,bs,0.0
2,bs,27.415335732639374
3,bs,0.0
4,bs,41.97976059960323
5,bs,24.218594096272394
6,bs,29.641916267340072
7,bs,42.90016841458784
8,bs,8.26607827207074
9,bs,13.33603389317828
10,bs,37.050498422198494
11,bs,0.0
12,bs,0.0
13,bs,0.0
14,bs,0.0
15,bs,0.0
1,naive,64.62248873263859
2,naive,51.28645483946029
3,naive,61.16473657263636
4,naive,12.713779925734128
5,naive,45.320495271639146
6,naive,66.6870251998093
7,naive,65.29194820190311
8,naive,29.437802793913363
9,naive,13.079127137032756
10,naive,13.079127137032756
11,naive,55.39474523815414
12,naive,76.54269370408338
13,naive,33.76434880165765
14,naive,68.51586701876678
15,naive,93.94889135292149
1,bs,0.0
2,bs,51.28645483946029
3,bs,0.0
4,bs,12.713779925734128
5,bs,29.437802793913363
6,bs,89.03224078950277
7,bs,89.02711796600704
8,bs,6.936717523440033
9,bs,8.89620893040026
10,bs,9.621981777852904
11,bs,0.0
12,bs,0.0
13,bs,0.0
14,bs,0.0
15,bs,0.0
1,naive,58.41409119382069
2,naive,22.96578832379445
3,naive,31.918800102760756
4,naive,22.963512362005947
5,naive,62.327671757147066
6,naive,92.93560747456632
7,naive,81.45447745958651
8,naive,46.88406694532092
9,naive,48.999473466558804
10,naive,49.51062040949733
11,naive,62.65673188093998
12,naive,133.76302429213305
13,naive,26.650854582920974
14,naive,53.315946019929164
15,naive,149.31886033024293
1,bs,0.0
2,bs,26.014458479853083
3,bs,0.0
4,bs,22.963512362005947
5,bs,46.88406694532092
6,bs,97.89985563489525
7,bs,80.96652945301946
8,bs,6.618519471906085
9,bs,30.561155082882586
10,bs,48.99908808675252
11,bs,0.0
12,bs,0.0
13,bs,0.0
14,bs,0.0
15,bs,0.0
1,naive,69.50152552282576
2,naive,3.6203867196751243
3,naive,30.497515472575795
4,naive,3.627457787486988
5,naive,9.869340994548049
6,naive,64.8750535470089
7,naive,65.67580604758498
8,naive,9.86997635930975
9,naive,39.168107243010866
10,naive,33.80304473465864
11,naive,50.24700787111607
12,naive,70.24569540692592
13,naive,56.68167957991365
14,naive,62.45874198220774
15,naive,102.45081512837189
1,bs,0.0
2,bs,3.6203867196751243
3,bs,0.0
4,bs,3.627457787486988
5,bs,9.409505831870238
6,bs,92.80094342192864
7,bs,71.96318016875018
8,bs,5.701108079429238
9,bs,33.80304473465864
10,bs,13.61180553784104
11,bs,0.0
12,bs,0.0
13,bs,0.0
14,bs,0.0
15,bs,0.0
1,naive,42.822386668657316
2,naive,12.696997020293157
3,naive,12.402652942012043
4,naive,12.691418360451285
5,naive,41.30217054425429
6,naive,48.712965069979994
7,naive,41.69113484902995
8,naive,41.30217054425429
9,naive,21.92020605134298
10,naive,35.53762266950338
11,naive,67.69840323080005
12,naive,77.49928652423006
13,naive,1.831406563273158
14,naive,21.88240008164857
15,naive,95.34602209929227
1,bs,0.0
2,bs,12.696997020293157
3,bs,0.0
4,bs,12.70670885792226
5,bs,27.739128200672297
6,bs,62.07517344585783
7,bs,39.09645124560541
8,bs,30.792181366920612
9,bs,9.256027765731906
10,bs,21.92020605134298
11,bs,0.0
12,bs,0.0
13,bs,0.0
14,bs,0.0
15,bs,0.0
1,naive,9.963134546918454
2,naive,49.546075862103685
3,naive,32.6046936805117
4,naive,49.55122332832292
5,naive,23.958637273434395
6,naive,61.15560721299187
7,naive,61.747179620008886
8,naive,24.517930173650466
9,naive,27.647116184754847
10,naive,47.471188016171105
11,naive,34.32296315879501
12,naive,104.88289272644356
13,naive,67.27413916208813
14,naive,66.26794800907399
15,naive,144.66987184778503
1,bs,0.0
2,bs,31.734952339652256
3,bs,0.0
4,bs,49.55122332832292
5,bs,24.52300212725459
6,bs,60.75483053497338
7,bs,63.44353027167807
8,bs,16.56751188320081
9,bs,20.887934316250615
10,bs,27.651996914026544
11,bs,0.0
12,bs,0.0
13,bs,0.0
14,bs,0.0
15,bs,0.0
1,naive,51.64707929786543
2,naive,44.500218351524225
3,naive,61.41929501386352
4,naive,44.49798347490965
5,naive,20.119006560961207
6,naive,58.87408283786678
7,naive,64.31700187353263
8,naive,20.1199378726675
9,naive,67.07495260279106
10,naive,67.07507851902474
11,naive,38.62924345622109
12,naive,76.56698374378617
13,naive,65.5629407516167
14,naive,60.99519188701133
15,naive,96.60451640583126
1,bs,0.0
2,bs,7.912524881477466
3,bs,0.0
4,bs,44.49798347490965
