cableId,std,loads
1,0.0,[72.57]
2,17.350487985452553,[32.81, 39.43, 65.62]
3,0.0,[38.15]
4,21.111310554613453,[26.2, 32.81, 65.62]
5,45.80623574725753,[58.18, 71.7, 143.41]
6,56.879189735790014,[2.63, 64.46, 113.35, 128.93]
7,54.37821155266756,[15.58, 64.46, 126.3, 128.93]
8,38.103347621960985,[71.7, 85.22, 143.41]
9,40.82545447797652,[77.38, 93.5, 154.76]
10,49.98294509130089,[61.26, 77.38, 154.76]
11,0.0,[24.76]
12,0.0,[416.12]
13,0.0,[35.6]
14,0.0,[112.25]
15,0.0,[562.13]





