#UF/TF, #V/TV
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.25
0.3,0.375
0.4,0.5
0.5,0.125
0.5,0.078125
0.6,0.078125
0.7,0.046875
0.8,0.029296875
0.9,0.015625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.25
0.3,0.5
0.4,0.25
0.5,0.25
0.5,0.140625
0.6,0.0625
0.7,0.0703125
0.8,0.046875
0.9,0.01953125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.75
0.3,0.5
0.4,0.1875
0.5,0.375
0.5,0.1875
0.6,0.09375
0.7,0.046875
0.8,0.029296875
0.9,0.0234375
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.25
0.4,0.25
0.5,0.09375
0.5,0.1875
0.6,0.0625
0.7,0.03125
0.8,0.0234375
0.9,0.0244140625
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.75
0.3,1.0
0.4,0.125
0.5,0.25
0.5,0.125
0.6,0.0703125
0.7,0.078125
0.8,0.03125
0.9,0.01953125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.375
0.4,0.625
0.5,0.1875
0.5,0.09375
0.6,0.09375
0.7,0.03125
0.8,0.03125
0.9,0.029296875
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.375
0.4,0.375
0.5,0.1875
0.5,0.1875
0.6,0.09375
0.7,0.0703125
0.8,0.029296875
0.9,0.01953125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.25
0.4,0.375
0.5,0.1875
0.5,0.1875
0.6,0.1171875
0.7,0.046875
0.8,0.046875
0.9,0.0234375
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.125
0.4,0.25
0.5,0.25
0.5,0.09375
0.6,0.09375
0.7,0.05859375
0.8,0.0390625
0.9,0.0234375
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.75
0.4,0.375
0.5,0.1875
0.5,0.1875
0.6,0.078125
0.7,0.078125
0.8,0.03125
0.9,0.015625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.25
0.3,0.5
0.4,0.125
0.5,0.28125
0.5,0.09375
0.6,0.125
0.7,0.09765625
0.8,0.029296875
0.9,0.01953125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.75
0.3,0.25
0.4,0.375
0.5,0.375
0.5,0.140625
0.6,0.0625
0.7,0.05859375
0.8,0.05859375
0.9,0.0146484375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.25
0.4,0.1875
0.5,0.125
0.5,0.3125
0.6,0.09375
0.7,0.046875
0.8,0.0234375
0.9,0.0146484375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.5
0.4,0.3125
0.5,0.1875
0.5,0.09375
0.6,0.09375
0.7,0.0390625
0.8,0.0234375
0.9,0.0146484375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.25
0.3,0.25
0.4,0.375
0.5,0.1875
0.5,0.09375
0.6,0.09375
0.7,0.03125
0.8,0.0390625
0.9,0.0234375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.375
0.4,0.25
0.5,0.1875
0.5,0.1875
0.6,0.1171875
0.7,0.046875
0.8,0.0390625
0.9,0.0146484375
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.25
0.4,0.375
0.5,0.1875
0.5,0.0625
0.6,0.0625
0.7,0.09375
0.8,0.046875
0.9,0.01953125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.1875
0.5,0.25
0.5,0.1875
0.6,0.09375
0.7,0.05859375
0.8,0.029296875
0.9,0.01953125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.75
0.4,0.5625
0.5,0.125
0.5,0.140625
0.6,0.0703125
0.7,0.046875
0.8,0.0390625
0.9,0.0234375
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.25
0.3,0.375
0.4,0.375
0.5,0.1875
0.5,0.140625
0.6,0.078125
0.7,0.046875
0.8,0.0390625
0.9,0.029296875
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,1.0
0.3,0.75
0.4,0.1875
0.5,0.125
0.5,0.09375
0.6,0.09375
0.7,0.046875
0.8,0.03125
0.9,0.0234375
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.1875
0.5,0.1875
0.5,0.125
0.6,0.046875
0.7,0.078125
0.8,0.0390625
0.9,0.0234375
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.75
0.4,0.375
0.5,0.28125
0.5,0.1875
0.6,0.078125
0.7,0.078125
0.8,0.029296875
0.9,0.0234375
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,1.0
0.3,0.25
0.4,0.25
0.5,0.46875
0.5,0.078125
0.6,0.0703125
0.7,0.03125
0.8,0.0234375
0.9,0.0146484375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.75
0.4,0.375
0.5,0.1875
0.5,0.1875
0.6,0.046875
0.7,0.046875
0.8,0.0390625
0.9,0.01953125
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.25
0.4,0.25
0.5,0.25
0.5,0.09375
0.6,0.09375
0.7,0.046875
0.8,0.03125
0.9,0.015625
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.75
0.4,0.375
0.5,0.25
0.5,0.046875
0.6,0.0703125
0.7,0.078125
0.8,0.03125
0.9,0.0244140625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.375
0.5,0.375
0.5,0.140625
0.6,0.09375
0.7,0.03515625
0.8,0.0390625
0.9,0.029296875
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.75
0.3,0.25
0.4,0.375
0.5,0.1875
0.5,0.1875
0.6,0.0703125
0.7,0.05859375
0.8,0.0234375
0.9,0.0234375
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.1875
0.5,0.1875
0.5,0.140625
0.6,0.046875
0.7,0.046875
0.8,0.0390625
0.9,0.0146484375
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.75
0.4,0.125
0.5,0.1875
0.5,0.140625
0.6,0.0703125
0.7,0.046875
0.8,0.029296875
0.9,0.0234375
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.1875
0.5,0.28125
0.5,0.3125
0.6,0.046875
0.7,0.03515625
0.8,0.03125
0.9,0.015625
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,1.0
0.3,0.5
0.4,0.375
0.5,0.28125
0.5,0.09375
0.6,0.125
0.7,0.046875
0.8,0.0390625
0.9,0.01953125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.125
0.5,0.28125
0.5,0.15625
0.6,0.0703125
0.7,0.046875
0.8,0.0390625
0.9,0.015625
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.25
0.4,0.375
0.5,0.1875
0.5,0.1875
0.6,0.046875
0.7,0.03515625
0.8,0.048828125
0.9,0.0234375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,1.0
0.3,0.5
0.4,0.375
0.5,0.46875
0.5,0.140625
0.6,0.09375
0.7,0.078125
0.8,0.046875
0.9,0.0234375
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.25
0.3,0.125
0.4,0.25
0.5,0.28125
0.5,0.125
0.6,0.09375
0.7,0.0703125
0.8,0.048828125
0.9,0.0234375
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.25
0.4,0.25
0.5,0.25
0.5,0.0625
0.6,0.09375
0.7,0.078125
0.8,0.03515625
0.9,0.01953125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.25
0.4,0.125
0.5,0.125
0.5,0.140625
0.6,0.0625
0.7,0.0625
0.8,0.0390625
0.9,0.0234375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.125
0.4,0.375
0.5,0.1875
0.5,0.234375
0.6,0.09375
0.7,0.046875
0.8,0.0234375
0.9,0.0234375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.25
0.3,0.5
0.4,0.375
0.5,0.1875
0.5,0.1875
0.6,0.09375
0.7,0.09375
0.8,0.0234375
0.9,0.0146484375
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.25
0.4,0.375
0.5,0.1875
0.5,0.15625
0.6,0.09375
0.7,0.078125
0.8,0.029296875
0.9,0.017578125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.375
0.4,0.25
0.5,0.28125
0.5,0.1875
0.6,0.09375
0.7,0.078125
0.8,0.03515625
0.9,0.01953125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.5
0.4,0.1875
0.5,0.25
0.5,0.1875
0.6,0.09375
0.7,0.046875
0.8,0.0390625
0.9,0.017578125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.375
0.4,0.25
0.5,0.125
0.5,0.140625
0.6,0.15625
0.7,0.05859375
0.8,0.03125
0.9,0.0234375
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.375
0.4,0.375
0.5,0.1875
0.5,0.1875
0.6,0.09375
0.7,0.046875
0.8,0.0234375
0.9,0.0234375
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,1.0
0.3,0.5
0.4,0.3125
0.5,0.1875
0.5,0.125
0.6,0.09375
0.7,0.0703125
0.8,0.0390625
0.9,0.0244140625
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.375
0.4,0.3125
0.5,0.1875
0.5,0.09375
0.6,0.09375
0.7,0.078125
0.8,0.048828125
0.9,0.01953125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,1.0
0.3,0.75
0.4,0.1875
0.5,0.1875
0.5,0.09375
0.6,0.0703125
0.7,0.046875
0.8,0.029296875
0.9,0.0234375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.25
0.4,0.25
0.5,0.09375
0.5,0.1875
0.6,0.046875
0.7,0.05859375
0.8,0.03125
0.9,0.0244140625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.25
0.3,0.5
0.4,0.5
0.5,0.28125
0.5,0.09375
0.6,0.09375
0.7,0.046875
0.8,0.03515625
0.9,0.0244140625
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.25
0.3,0.5
0.4,0.5
0.5,0.28125
0.5,0.125
0.6,0.1171875
0.7,0.09375
0.8,0.0390625
0.9,0.0244140625
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.375
0.4,0.375
0.5,0.28125
0.5,0.1875
0.6,0.15625
0.7,0.046875
0.8,0.0390625
0.9,0.029296875
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.375
0.4,0.375
0.5,0.375
0.5,0.140625
0.6,0.09375
0.7,0.046875
0.8,0.03125
0.9,0.0146484375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.25
0.3,0.75
0.4,0.25
0.5,0.375
0.5,0.25
0.6,0.1171875
0.7,0.046875
0.8,0.03125
0.9,0.015625
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.375
0.4,0.1875
0.5,0.09375
0.5,0.1875
0.6,0.125
0.7,0.0703125
0.8,0.03125
0.9,0.029296875
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.75
0.3,0.75
0.4,0.25
0.5,0.125
0.5,0.25
0.6,0.0703125
0.7,0.046875
0.8,0.029296875
0.9,0.01953125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.375
0.4,0.5625
0.5,0.375
0.5,0.09375
0.6,0.09375
0.7,0.0390625
0.8,0.046875
0.9,0.029296875
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.5
0.4,0.125
0.5,0.1875
0.5,0.140625
0.6,0.0625
0.7,0.03125
0.8,0.01953125
0.9,0.01953125
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.5
0.4,0.375
0.5,0.25
0.5,0.234375
0.6,0.09375
0.7,0.0625
0.8,0.0390625
0.9,0.015625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.75
0.4,0.25
0.5,0.1875
0.5,0.125
0.6,0.0703125
0.7,0.046875
0.8,0.029296875
0.9,0.017578125
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.25
0.4,0.25
0.5,0.1875
0.5,0.234375
0.6,0.140625
0.7,0.0703125
0.8,0.0390625
0.9,0.01953125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.25
0.4,0.5625
0.5,0.25
0.5,0.1875
0.6,0.09375
0.7,0.046875
0.8,0.0390625
0.9,0.0234375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.5
0.4,0.375
0.5,0.1875
0.5,0.0625
0.6,0.125
0.7,0.078125
0.8,0.0234375
0.9,0.0244140625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.25
0.4,0.25
0.5,0.1875
0.5,0.1875
0.6,0.1171875
0.7,0.0625
0.8,0.046875
0.9,0.017578125
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.375
0.4,0.5625
0.5,0.1875
0.5,0.1875
0.6,0.0625
0.7,0.046875
0.8,0.0390625
0.9,0.0244140625
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.125
0.4,0.5625
0.5,0.0625
0.5,0.140625
0.6,0.125
0.7,0.05859375
0.8,0.029296875
0.9,0.01953125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.75
0.4,0.125
0.5,0.28125
0.5,0.09375
0.6,0.0703125
0.7,0.03515625
0.8,0.029296875
0.9,0.029296875
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.75
0.4,0.25
0.5,0.25
0.5,0.15625
0.6,0.09375
0.7,0.05859375
0.8,0.029296875
0.9,0.0146484375
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.1875
0.5,0.1875
0.5,0.09375
0.6,0.0625
0.7,0.0703125
0.8,0.03515625
0.9,0.01953125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.375
0.4,0.125
0.5,0.28125
0.5,0.125
0.6,0.0703125
0.7,0.0390625
0.8,0.0390625
0.9,0.0234375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,1.0
0.3,0.375
0.4,0.1875
0.5,0.1875
0.5,0.09375
0.6,0.09375
0.7,0.046875
0.8,0.0234375
0.9,0.029296875
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.125
0.4,0.25
0.5,0.46875
0.5,0.234375
0.6,0.125
0.7,0.046875
0.8,0.046875
0.9,0.015625
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.5
0.4,0.125
0.5,0.09375
0.5,0.140625
0.6,0.1171875
0.7,0.046875
0.8,0.03125
0.9,0.0234375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.375
0.4,0.375
0.5,0.125
0.5,0.140625
0.6,0.1171875
0.7,0.046875
0.8,0.029296875
0.9,0.0244140625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.5
0.4,0.375
0.5,0.15625
0.5,0.125
0.6,0.0703125
0.7,0.078125
0.8,0.03515625
0.9,0.01953125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.5
0.5,0.125
0.5,0.1875
0.6,0.09375
0.7,0.03515625
0.8,0.048828125
0.9,0.015625
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,1.0
0.3,0.375
0.4,0.375
0.5,0.1875
0.5,0.15625
0.6,0.09375
0.7,0.05859375
0.8,0.0390625
0.9,0.017578125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.1875
0.5,0.25
0.5,0.09375
0.6,0.09375
0.7,0.05859375
0.8,0.0234375
0.9,0.017578125
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.75
0.3,0.25
0.4,0.5
0.5,0.25
0.5,0.1875
0.6,0.046875
0.7,0.05859375
0.8,0.0390625
0.9,0.0234375
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.375
0.4,0.5
0.5,0.1875
0.5,0.1875
0.6,0.0703125
0.7,0.03125
0.8,0.0390625
0.9,0.015625
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.5
0.4,0.25
0.5,0.15625
0.5,0.15625
0.6,0.09375
0.7,0.046875
0.8,0.0390625
0.9,0.0146484375
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.25
0.4,0.1875
0.5,0.3125
0.5,0.125
0.6,0.09375
0.7,0.05859375
0.8,0.046875
0.9,0.029296875
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.5
0.4,0.25
0.5,0.1875
0.5,0.125
0.6,0.09375
0.7,0.09375
0.8,0.048828125
0.9,0.0234375
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.75
0.4,0.375
0.5,0.1875
0.5,0.234375
0.6,0.09375
0.7,0.046875
0.8,0.0390625
0.9,0.01953125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.5
0.4,0.375
0.5,0.125
0.5,0.125
0.6,0.09375
0.7,0.046875
0.8,0.03125
0.9,0.01953125
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.5
0.4,0.5625
0.5,0.1875
0.5,0.1875
0.6,0.09375
0.7,0.03125
0.8,0.048828125
0.9,0.0244140625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.375
0.4,0.625
0.5,0.15625
0.5,0.1875
0.6,0.1171875
0.7,0.078125
0.8,0.03125
0.9,0.0244140625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.25
0.4,0.375
0.5,0.09375
0.5,0.0625
0.6,0.078125
0.7,0.046875
0.8,0.0390625
0.9,0.015625
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.25
0.3,0.5
0.4,0.375
0.5,0.1875
0.5,0.078125
0.6,0.0625
0.7,0.078125
0.8,0.0390625
0.9,0.017578125
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.5
0.4,0.1875
0.5,0.25
0.5,0.09375
0.6,0.1171875
0.7,0.03125
0.8,0.03125
0.9,0.017578125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.5
0.4,0.25
0.5,0.1875
0.5,0.09375
0.6,0.078125
0.7,0.046875
0.8,0.029296875
0.9,0.01953125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.75
0.4,0.1875
0.5,0.25
0.5,0.09375
0.6,0.0625
0.7,0.046875
0.8,0.029296875
0.9,0.0234375
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.75
0.3,0.125
0.4,0.375
0.5,0.1875
0.5,0.25
0.6,0.09375
0.7,0.0390625
0.8,0.0234375
0.9,0.0234375
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.25
0.4,0.25
0.5,0.1875
0.5,0.09375
0.6,0.1171875
0.7,0.0625
0.8,0.03125
0.9,0.0146484375
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.25
0.3,0.5
0.4,0.25
0.5,0.1875
0.5,0.09375
0.6,0.046875
0.7,0.0625
0.8,0.046875
0.9,0.0234375
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.25
0.3,0.5
0.4,0.375
0.5,0.25
0.5,0.140625
0.6,0.09375
0.7,0.046875
0.8,0.0390625
0.9,0.015625
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.25
0.4,0.25
0.5,0.1875
0.5,0.140625
0.6,0.140625
0.7,0.0625
0.8,0.029296875
0.9,0.0244140625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.375
0.4,0.75
0.5,0.125
0.5,0.09375
0.6,0.0703125
0.7,0.0390625
0.8,0.0234375
0.9,0.01953125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.25
0.5,0.1875
0.5,0.140625
0.6,0.140625
0.7,0.046875
0.8,0.0234375
0.9,0.029296875
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.375
0.5,0.1875
0.5,0.234375
0.6,0.078125
0.7,0.0625
0.8,0.0390625
0.9,0.01953125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.25
0.4,0.125
0.5,0.1875
0.5,0.0625
0.6,0.0703125
0.7,0.0703125
0.8,0.029296875
0.9,0.01953125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.75
0.4,0.5
0.5,0.09375
0.5,0.046875
0.6,0.09375
0.7,0.046875
0.8,0.0234375
0.9,0.0234375
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.375
0.4,0.25
0.5,0.125
0.5,0.140625
0.6,0.09375
0.7,0.046875
0.8,0.0390625
0.9,0.0146484375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.125
0.4,0.375
0.5,0.28125
0.5,0.125
0.6,0.09375
0.7,0.046875
0.8,0.03125
0.9,0.01953125
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.5
0.4,0.5
0.5,0.3125
0.5,0.15625
0.6,0.0625
0.7,0.078125
0.8,0.03515625
0.9,0.0146484375
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.25
0.4,0.375
0.5,0.28125
0.5,0.140625
0.6,0.0703125
0.7,0.0390625
0.8,0.0390625
0.9,0.0234375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.25
0.3,0.5
0.4,0.375
0.5,0.09375
0.5,0.1875
0.6,0.09375
0.7,0.046875
0.8,0.0390625
0.9,0.0244140625
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.375
0.4,0.375
0.5,0.1875
0.5,0.09375
0.6,0.09375
0.7,0.0625
0.8,0.03125
0.9,0.0234375
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,1.0
0.4,0.375
0.5,0.25
0.5,0.25
0.6,0.09375
0.7,0.09375
0.8,0.048828125
0.9,0.015625
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,1.0
0.3,0.375
0.4,0.1875
0.5,0.1875
0.5,0.140625
0.6,0.0703125
0.7,0.03515625
0.8,0.0390625
0.9,0.015625
1,0.01220703125
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.75
0.4,0.375
0.5,0.28125
0.5,0.1875
0.6,0.0625
0.7,0.078125
0.8,0.03125
0.9,0.01953125
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.75
0.3,0.5
0.4,0.1875
0.5,0.1875
0.5,0.234375
0.6,0.15625
0.7,0.078125
0.8,0.046875
0.9,0.029296875
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.75
0.3,0.5
0.4,0.375
0.5,0.25
0.5,0.1875
0.6,0.078125
0.7,0.046875
0.8,0.01953125
0.9,0.01953125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.125
0.4,0.1875
0.5,0.28125
0.5,0.09375
0.6,0.0703125
0.7,0.03125
0.8,0.0234375
0.9,0.015625
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.75
0.4,0.375
0.5,0.1875
0.5,0.15625
0.6,0.15625
0.7,0.05859375
0.8,0.029296875
0.9,0.01953125
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.5
0.4,0.25
0.5,0.3125
0.5,0.140625
0.6,0.1171875
0.7,0.046875
0.8,0.0234375
0.9,0.0234375
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.5
0.4,0.375
0.5,0.1875
0.5,0.0625
0.6,0.078125
0.7,0.046875
0.8,0.048828125
0.9,0.0234375
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,1.0
0.3,0.75
0.4,0.375
0.5,0.3125
0.5,0.140625
0.6,0.125
0.7,0.046875
0.8,0.0390625
0.9,0.0234375
1,0.009765625
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.5
0.3,0.25
0.4,0.375
0.5,0.28125
0.5,0.3125
0.6,0.125
0.7,0.09375
0.8,0.03125
0.9,0.015625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,0.5
0.3,0.375
0.4,0.25
0.5,0.46875
0.5,0.15625
0.6,0.1171875
0.7,0.03125
0.8,0.0390625
0.9,0.015625
1,0.01171875
1,0.00732421875
0.1,1.0
0.1,0.5
0.2,1.0
0.3,0.5
0.4,0.5
0.5,0.125
0.5,0.09375
0.6,0.09375
0.7,0.0390625
0.8,0.0234375
0.9,0.017578125
1,0.0146484375
1,0.00732421875
0.1,1.0
0.1,1.0
0.2,0.25
0.3,0.75
0.4,0.375
0.5,0.25
0.5,0.125
0.6,0.1171875
0.7,0.078125
0.8,0.0390625
0.9,0.01953125
1,0.01171875
