File Name,Idx Repetition,Nb. UFuses,Nb. Fuses,Nb. Configurations,Nb. Valid Conf.
realcase-Sub1.json,4,0,30,1,1
realcase-Sub1.json,4,1,30,2,2
realcase-Sub1.json,4,2,30,4,3
realcase-Sub1.json,4,3,30,8,4
realcase-Sub1.json,4,4,30,16,2
realcase-Sub1.json,4,5,30,32,8
realcase-Sub1.json,4,6,30,64,8
realcase-Sub1.json,4,7,30,128,9
realcase-Sub1.json,4,8,30,256,18
realcase-Sub1.json,4,9,30,512,16
realcase-Sub1.json,4,10,30,1024,36
realcase-Sub1.json,4,11,30,2048,24
realcase-Sub1.json,4,12,30,4096,24
realcase-Sub1.json,4,13,30,8192,60
realcase-Sub1.json,4,14,30,16384,54
realcase-Sub1.json,4,15,30,32768,108
realcase-Sub1.json,4,16,30,65536,192
realcase-Sub1.json,4,17,30,131072,96
realcase-Sub1.json,4,18,30,262144,300
realcase-Sub1.json,4,19,30,524288,108
realcase-Sub1.json,4,20,30,1048576,192
realcase-Sub1.json,4,21,30,2097152,432
realcase-Sub1.json,4,22,30,4194304,288
realcase-Sub1.json,4,23,30,8388608,360
realcase-Sub1.json,4,24,30,16777216,480
realcase-Sub1.json,4,25,30,33554432,720
realcase-Sub1.json,4,26,30,67108864,1080
realcase-Sub1.json,4,27,30,134217728,480
realcase-Sub1.json,4,28,30,268435456,1080
realcase-Sub1.json,4,29,30,536870912,720
realcase-Sub1.json,4,30,30,1073741824,1080
realcase-Sub1.json,5,0,30,1,1
realcase-Sub1.json,5,1,30,2,2
realcase-Sub1.json,5,2,30,4,2
realcase-Sub1.json,5,3,30,8,2
realcase-Sub1.json,5,4,30,16,8
realcase-Sub1.json,5,5,30,32,24
realcase-Sub1.json,5,6,30,64,8
realcase-Sub1.json,5,7,30,128,12
realcase-Sub1.json,5,8,30,256,24
realcase-Sub1.json,5,9,30,512,10
realcase-Sub1.json,5,10,30,1024,27
realcase-Sub1.json,5,11,30,2048,18
realcase-Sub1.json,5,12,30,4096,36
realcase-Sub1.json,5,13,30,8192,27
realcase-Sub1.json,5,14,30,16384,36
realcase-Sub1.json,5,15,30,32768,48
realcase-Sub1.json,5,16,30,65536,30
realcase-Sub1.json,5,17,30,131072,90
realcase-Sub1.json,5,18,30,262144,225
realcase-Sub1.json,5,19,30,524288,240
realcase-Sub1.json,5,20,30,1048576,180
realcase-Sub1.json,5,21,30,2097152,500
realcase-Sub1.json,5,22,30,4194304,480
realcase-Sub1.json,5,23,30,8388608,300
realcase-Sub1.json,5,24,30,16777216,432
realcase-Sub1.json,5,25,30,33554432,480
realcase-Sub1.json,5,26,30,67108864,576
realcase-Sub1.json,5,27,30,134217728,900
realcase-Sub1.json,5,28,30,268435456,720
realcase-Sub1.json,5,29,30,536870912,1080
realcase-Sub1.json,5,30,30,1073741824,1080
realcase-Sub1.json,6,0,30,1,1
realcase-Sub1.json,6,1,30,2,2
realcase-Sub1.json,6,2,30,4,2
realcase-Sub1.json,6,3,30,8,4
realcase-Sub1.json,6,4,30,16,4
realcase-Sub1.json,6,5,30,32,3
realcase-Sub1.json,6,6,30,64,6
realcase-Sub1.json,6,7,30,128,8
realcase-Sub1.json,6,8,30,256,18
realcase-Sub1.json,6,9,30,512,36
realcase-Sub1.json,6,10,30,1024,9
realcase-Sub1.json,6,11,30,2048,16
realcase-Sub1.json,6,12,30,4096,24
realcase-Sub1.json,6,13,30,8192,16
realcase-Sub1.json,6,14,30,16384,48
realcase-Sub1.json,6,15,30,32768,48
realcase-Sub1.json,6,16,30,65536,96
realcase-Sub1.json,6,17,30,131072,240
realcase-Sub1.json,6,18,30,262144,160
realcase-Sub1.json,6,19,30,524288,180
realcase-Sub1.json,6,20,30,1048576,270
realcase-Sub1.json,6,21,30,2097152,300
realcase-Sub1.json,6,22,30,4194304,320
realcase-Sub1.json,6,23,30,8388608,360
realcase-Sub1.json,6,24,30,16777216,400
realcase-Sub1.json,6,25,30,33554432,720
realcase-Sub1.json,6,26,30,67108864,864
realcase-Sub1.json,6,27,30,134217728,900
realcase-Sub1.json,6,28,30,268435456,1080
realcase-Sub1.json,6,29,30,536870912,1080
realcase-Sub1.json,6,30,30,1073741824,1080
realcase-Sub1.json,7,0,30,1,1
realcase-Sub1.json,7,1,30,2,2
realcase-Sub1.json,7,2,30,4,2
realcase-Sub1.json,7,3,30,8,2
realcase-Sub1.json,7,4,30,16,6
realcase-Sub1.json,7,5,30,32,4
realcase-Sub1.json,7,6,30,64,18
realcase-Sub1.json,7,7,30,128,32
realcase-Sub1.json,7,8,30,256,12
realcase-Sub1.json,7,9,30,512,48
realcase-Sub1.json,7,10,30,1024,27
realcase-Sub1.json,7,11,30,2048,12
realcase-Sub1.json,7,12,30,4096,24
realcase-Sub1.json,7,13,30,8192,36
realcase-Sub1.json,7,14,30,16384,40
realcase-Sub1.json,7,15,30,32768,30
realcase-Sub1.json,7,16,30,65536,216
realcase-Sub1.json,7,17,30,131072,180
realcase-Sub1.json,7,18,30,262144,180
realcase-Sub1.json,7,19,30,524288,216
realcase-Sub1.json,7,20,30,1048576,144
realcase-Sub1.json,7,21,30,2097152,216
realcase-Sub1.json,7,22,30,4194304,720
realcase-Sub1.json,7,23,30,8388608,300
realcase-Sub1.json,7,24,30,16777216,192
realcase-Sub1.json,7,25,30,33554432,600
realcase-Sub1.json,7,26,30,67108864,900
realcase-Sub1.json,7,27,30,134217728,432
realcase-Sub1.json,7,28,30,268435456,864
realcase-Sub1.json,7,29,30,536870912,1080
realcase-Sub1.json,7,30,30,1073741824,1080
realcase-Sub1.json,8,0,30,1,1
realcase-Sub1.json,8,1,30,2,2
realcase-Sub1.json,8,2,30,4,2
realcase-Sub1.json,8,3,30,8,4
realcase-Sub1.json,8,4,30,16,4
realcase-Sub1.json,8,5,30,32,16
realcase-Sub1.json,8,6,30,64,24
realcase-Sub1.json,8,7,30,128,3
realcase-Sub1.json,8,8,30,256,12
realcase-Sub1.json,8,9,30,512,36
realcase-Sub1.json,8,10,30,1024,12
realcase-Sub1.json,8,11,30,2048,24
realcase-Sub1.json,8,12,30,4096,8
realcase-Sub1.json,8,13,30,8192,24
realcase-Sub1.json,8,14,30,16384,48
realcase-Sub1.json,8,15,30,32768,48
realcase-Sub1.json,8,16,30,65536,96
realcase-Sub1.json,8,17,30,131072,240
realcase-Sub1.json,8,18,30,262144,24
realcase-Sub1.json,8,19,30,524288,120
realcase-Sub1.json,8,20,30,1048576,240
realcase-Sub1.json,8,21,30,2097152,240
realcase-Sub1.json,8,22,30,4194304,162
realcase-Sub1.json,8,23,30,8388608,240
realcase-Sub1.json,8,24,30,16777216,576
realcase-Sub1.json,8,25,30,33554432,900
realcase-Sub1.json,8,26,30,67108864,432
realcase-Sub1.json,8,27,30,134217728,864
realcase-Sub1.json,8,28,30,268435456,600
realcase-Sub1.json,8,29,30,536870912,900
realcase-Sub1.json,8,30,30,1073741824,1080
realcase-Sub1.json,9,0,30,1,1
realcase-Sub1.json,9,1,30,2,2
realcase-Sub1.json,9,2,30,4,2
realcase-Sub1.json,9,3,30,8,2
realcase-Sub1.json,9,4,30,16,4
realcase-Sub1.json,9,5,30,32,12
realcase-Sub1.json,9,6,30,64,4
realcase-Sub1.json,9,7,30,128,24
realcase-Sub1.json,9,8,30,256,16
realcase-Sub1.json,9,9,30,512,4
realcase-Sub1.json,9,10,30,1024,27
realcase-Sub1.json,9,11,30,2048,18
realcase-Sub1.json,9,12,30,4096,160
realcase-Sub1.json,9,13,30,8192,160
realcase-Sub1.json,9,14,30,16384,36
realcase-Sub1.json,9,15,30,32768,135
realcase-Sub1.json,9,16,30,65536,150
realcase-Sub1.json,9,17,30,131072,36
realcase-Sub1.json,9,18,30,262144,72
realcase-Sub1.json,9,19,30,524288,400
realcase-Sub1.json,9,20,30,1048576,144
realcase-Sub1.json,9,21,30,2097152,192
realcase-Sub1.json,9,22,30,4194304,576
realcase-Sub1.json,9,23,30,8388608,384
realcase-Sub1.json,9,24,30,16777216,375
realcase-Sub1.json,9,25,30,33554432,720
realcase-Sub1.json,9,26,30,67108864,360
realcase-Sub1.json,9,27,30,134217728,750
realcase-Sub1.json,9,28,30,268435456,600
realcase-Sub1.json,9,29,30,536870912,864
realcase-Sub1.json,9,30,30,1073741824,1080
realcase-Sub1.json,10,0,30,1,1
realcase-Sub1.json,10,1,30,2,1
realcase-Sub1.json,10,2,30,4,2
realcase-Sub1.json,10,3,30,8,2
realcase-Sub1.json,10,4,30,16,8
realcase-Sub1.json,10,5,30,32,9
realcase-Sub1.json,10,6,30,64,18
realcase-Sub1.json,10,7,30,128,8
realcase-Sub1.json,10,8,30,256,18
realcase-Sub1.json,10,9,30,512,36
realcase-Sub1.json,10,10,30,1024,36
realcase-Sub1.json,10,11,30,2048,60
realcase-Sub1.json,10,12,30,4096,18
realcase-Sub1.json,10,13,30,8192,54
realcase-Sub1.json,10,14,30,16384,64
realcase-Sub1.json,10,15,30,32768,108
realcase-Sub1.json,10,16,30,65536,225
realcase-Sub1.json,10,17,30,131072,60
