"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fileName","Param: nbUFuses"
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxNaive","avgt",8,30,0.043485,0.000602,"ms/op",indirectPara.json,0
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxNaive","avgt",8,30,0.070916,0.000734,"ms/op",indirectPara.json,1
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxNaive","avgt",8,30,0.125201,0.000451,"ms/op",indirectPara.json,2
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxNaive","avgt",8,30,0.220849,0.001365,"ms/op",indirectPara.json,3
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxNaive","avgt",8,30,0.347209,0.006058,"ms/op",indirectPara.json,4
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxNaive","avgt",8,30,0.344668,0.003030,"ms/op",indirectPara.json,5
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxNaive","avgt",8,30,0.645437,0.001351,"ms/op",indirectPara.json,6
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxNaive","avgt",8,30,1.014567,0.010447,"ms/op",indirectPara.json,7
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxNaive","avgt",8,30,1.867921,0.016563,"ms/op",indirectPara.json,8
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxNaive","avgt",8,30,1.835764,0.011732,"ms/op",indirectPara.json,9
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxNaive","avgt",8,30,3.344758,0.033263,"ms/op",indirectPara.json,10
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxNaive","avgt",8,30,0.074948,0.000710,"ms/op",runningexample.json,0
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxNaive","avgt",8,30,0.138270,0.001089,"ms/op",runningexample.json,1
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxNaive","avgt",8,30,0.264805,0.002280,"ms/op",runningexample.json,2
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxNaive","avgt",8,30,0.412770,0.001812,"ms/op",runningexample.json,3
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxNaive","avgt",8,30,0.712694,0.003727,"ms/op",runningexample.json,4
