"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: fileName","Param: nbUFuses"
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxImproved","avgt",8,30,0.056748,0.000622,"ms/op",indirectPara.json,0
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxImproved","avgt",8,30,0.086960,0.000525,"ms/op",indirectPara.json,1
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxImproved","avgt",8,30,0.115646,0.000401,"ms/op",indirectPara.json,2
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxImproved","avgt",8,30,0.116574,0.000489,"ms/op",indirectPara.json,3
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxImproved","avgt",8,30,0.141535,0.001572,"ms/op",indirectPara.json,4
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxImproved","avgt",8,30,0.143581,0.001577,"ms/op",indirectPara.json,5
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxImproved","avgt",8,30,0.140350,0.001293,"ms/op",indirectPara.json,6
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxImproved","avgt",8,30,0.179299,0.000623,"ms/op",indirectPara.json,7
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxImproved","avgt",8,30,0.220615,0.004904,"ms/op",indirectPara.json,8
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxImproved","avgt",8,30,0.226173,0.003268,"ms/op",indirectPara.json,9
"duc.propagation.bench.smartgridcomm2020.Topo10Fuses.ucLoadApproxImproved","avgt",8,30,0.312298,0.001802,"ms/op",indirectPara.json,10
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,0.118115,0.000532,"ms/op",runningexample.json,0
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,0.185847,0.002454,"ms/op",runningexample.json,1
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,0.321205,0.001733,"ms/op",runningexample.json,2
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,0.318260,0.001999,"ms/op",runningexample.json,3
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,0.442188,0.002688,"ms/op",runningexample.json,4
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,0.445620,0.001740,"ms/op",runningexample.json,5
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,0.605245,0.002231,"ms/op",runningexample.json,6
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,0.778240,0.005835,"ms/op",runningexample.json,7
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,1.181368,0.003545,"ms/op",runningexample.json,8
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,1.404444,0.009924,"ms/op",runningexample.json,9
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,1.435129,0.011256,"ms/op",runningexample.json,10
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,1.412009,0.018794,"ms/op",runningexample.json,11
"duc.propagation.bench.smartgridcomm2020.Topo12Fuses.ucLoadApproxImproved","avgt",8,30,1.751755,0.007172,"ms/op",runningexample.json,12
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.ucLoadApproxImproved","avgt",8,30,0.146306,0.000731,"ms/op",realcase-Sub2.json,0
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.ucLoadApproxImproved","avgt",8,30,0.145459,0.001779,"ms/op",realcase-Sub2.json,1
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.ucLoadApproxImproved","avgt",8,30,0.243691,0.000844,"ms/op",realcase-Sub2.json,2
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.ucLoadApproxImproved","avgt",8,30,0.241288,0.001697,"ms/op",realcase-Sub2.json,3
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.ucLoadApproxImproved","avgt",8,30,0.418346,0.001175,"ms/op",realcase-Sub2.json,4
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.ucLoadApproxImproved","avgt",8,30,0.568007,0.002533,"ms/op",realcase-Sub2.json,5
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.ucLoadApproxImproved","avgt",8,30,0.815917,0.002327,"ms/op",realcase-Sub2.json,6
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.ucLoadApproxImproved","avgt",8,30,1.068282,0.006979,"ms/op",realcase-Sub2.json,7
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.ucLoadApproxImproved","avgt",8,30,1.308752,0.009957,"ms/op",realcase-Sub2.json,8
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.ucLoadApproxImproved","avgt",8,30,1.543581,0.003194,"ms/op",realcase-Sub2.json,9
"duc.propagation.bench.smartgridcomm2020.Topo16Fuses.ucLoadApproxImproved","avgt",8,30,1.550725,0.009550,"ms/op",realcase-Sub2.json,10
